sentence_id,dialect,sentence,tokens,pos_tags,token_count
0,MSA,إنها في أخر القاعة . سوف آتي لك ببعض منها الآن . إذا أردت أي شيئاً آخر فقط أعلمني .,إنها في أخر القاعة . سوف آتي لك ببعض منها الآن . إذا أردت أي شيئاً آخر فقط أعلمني .,verb_pseudo prep adj noun punc part_fut verb prep adj noun adv punc conj_sub verb part noun adj adv verb punc,20
2,MSA,هل تقومون بعمل تعديلات ؟,هل تقومون بعمل تعديلات ؟,part_interrog verb noun noun punc,5
4,MSA,نريد مائدة بجانب النافذة .,نريد مائدة بجانب النافذة .,verb noun noun noun punc,5
5,MSA,هناك ، أمام بيانات السائح تماما .,هناك ،/ أمام بيانات السائح تماما .,adv UNK prep noun noun adv punc,7
9,MSA,لم اسمع بهذا العنوان من قبل بالقرب من هنا .,لم اسمع بهذا العنوان من قبل بالقرب من هنا .,part_neg verb pron_dem noun prep noun prep prep adv punc,10
11,MSA,استمر في السير في هذا الطريق حتى تجد صيدلية .,استمر في السير في هذا الطريق حتى تجد صيدلية .,verb prep noun prep pron_dem noun conj_sub verb noun punc,10
12,MSA,ما هو أحدث لون هذا الموسم .,ما هو أحدث لون هذا الموسم .,pron_interrog pron adj noun pron_dem noun punc,7
14,MSA,في حالتي ، غالباً ما يكون من أجل العمل ونادراً ما يكون للاستمتاع .,في حالتي ، غالباً ما يكون من أجل العمل ونادراً ما يكون للاستمتاع .,prep noun punc adv adv verb prep prep noun adv adv verb noun punc,14
15,MSA,سأقيم لمدة يومين .,سأقيم لمدة يومين .,verb noun noun punc,4
16,MSA,أريد تمويج متقارب بشعري,أريد تمويج متقارب بشعري,verb noun adj noun,4
17,MSA,أريد حجز غرفتين مزدوجتين .,أريد حجز غرفتين مزدوجتين .,verb noun noun adj punc,5
18,MSA,لا أريد إزالتها .,لا أريد إزالتها .,part_neg verb noun punc,4
19,MSA,هل هذه الحافلة تتوقف في شارع أستونر ؟,هل هذه الحافلة تتوقف في شارع أستونر ؟,part_interrog pron_dem noun verb prep noun noun_prop punc,8
24,MSA,من فضلك افتح فمك على مداه .,من فضلك افتح فمك على مداه .,prep noun verb noun prep noun punc,7
26,MSA,كم تكلفة الإفطار ؟,كم تكلفة الإفطار ؟,adv_interrog noun noun punc,4
27,MSA,كيف أستطيع مساعدتك ؟,كيف أستطيع مساعدتك ؟,adv_interrog verb noun punc,4
29,MSA,دعنا نأخذ قطعة لنأكلها .,دعنا نأخذ قطعة لنأكلها .,verb verb noun verb punc,5
30,MSA,اتجه يسارا عند الناصية الثالثة .,اتجه يسارا عند الناصية الثالثة .,verb adv prep noun adj punc,6
31,MSA,هل لك أن تقوم بتنظيف هذه الملابس ؟,هل لك أن تقوم بتنظيف هذه الملابس ؟,part_interrog prep conj_sub verb noun pron_dem noun punc,8
37,MSA,أعطيك رقم تليفونه وعنوانه .,أعطيك رقم تليفونه وعنوانه .,verb noun noun noun punc,5
38,MSA,لقد قمت بتسديد ثمن الوجبات ورسوم الفندق مقدماًً .,لقد قمت بتسديد ثمن الوجبات ورسوم الفندق مقدماًً .,part_verb verb noun noun noun noun noun adv punc,9
40,MSA,أبحث عن مطعم جيد ، للمشويات . هل يمكنك أن تشير إلى أماكن تلك المطاعم على الخريطة ؟,أبحث عن مطعم جيد ، للمشويات . هل يمكنك أن تشير إلى أماكن تلك المطاعم على الخريطة ؟,verb prep noun adj punc noun punc part_interrog verb conj_sub verb prep noun pron_dem noun prep noun punc,18
42,MSA,أنت تقوم بكسرها ، فأنت الذي اشتريتها .,أنت تقوم بكسرها ، فأنت الذي اشتريتها .,pron verb noun punc pron pron_rel verb punc,8
46,MSA,سوف أخبرها بأن تتصل بك بمجرد أن تصل .,سوف أخبرها بأن تتصل بك بمجرد أن تصل .,part_fut verb conj_sub verb prep noun conj_sub verb punc,9
50,MSA,هل تحب أن تضع قشدة وسكر في قهوتك ؟,هل تحب أن تضع قشدة وسكر في قهوتك ؟,part_interrog verb conj_sub verb noun noun prep noun punc,9
51,MSA,لقد أصيبت إصابة بالغة .,لقد أصيبت إصابة بالغة .,part_verb verb noun adj punc,5
52,MSA,أريد قداحة .,أريد قداحة .,verb noun punc,3
53,MSA,هل لدى هذا الفندق تجهيزات للمؤتمرات ؟,هل لدى هذا الفندق تجهيزات للمؤتمرات ؟,part_interrog prep pron_dem noun noun noun punc,7
56,MSA,هل من المناسب أن نتناول وجبة خفيفة ؟,هل من المناسب أن نتناول وجبة خفيفة ؟,part_interrog prep adj conj_sub verb noun adj punc,8
57,MSA,أنا أتصل من المطار . سأصل هناك في حوالي الساعة الرابعة .,أنا أتصل من المطار . سأصل هناك في حوالي الساعة الرابعة .,pron verb prep noun punc verb adv prep noun_quant noun adj punc,12
62,MSA,أين سأغير إلى شيكاغو .,أين سأغير إلى شيكاغو .,adv_interrog verb prep noun_prop punc,5
63,MSA,كم تكلفة إرسال خطاب مسجل إلى فرنسا ؟,كم تكلفة إرسال خطاب مسجل إلى فرنسا ؟,pron_interrog noun noun noun adj prep noun_prop punc,8
64,MSA,هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟,هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟,part_interrog verb noun noun noun noun_num noun adj prep punc,10
68,MSA,إن القيادة على الجانب الأيمن من الطريق مختلفة تماماً بالفعل .,إن القيادة على الجانب الأيمن من الطريق مختلفة تماماً بالفعل .,conj_sub noun prep noun adj prep noun adj adv adv punc,11
69,MSA,كان الممثل رائعا بالفعل .,كان الممثل رائعا بالفعل .,verb_pseudo noun adj adv punc,5
72,MSA,أين الجانب غير الخيالي في شخصيتك ؟,أين الجانب غير الخيالي في شخصيتك ؟,adv_interrog noun adv adj prep noun punc,7
74,MSA,إذا حدث ذلك ، من فضلك أتصل بي .,إذا حدث ذلك ، من فضلك أتصل بي .,conj_sub verb pron_dem punc prep noun verb prep punc,9
