sentence_id,dialect,sentence,pos_tags,,Checked,
0,MSA,إنها في أخر القاعة . سوف آتي لك ببعض منها الآن . إذا أردت أي شيئاً آخر فقط أعلمني .,إنها/verb_pseudo في/prep أخر/adj القاعة/noun ./punc سوف/part_fut آتي/verb لك/prep ببعض/adj منها/noun الآن/adv ./punc إذا/conj_sub أردت/verb أي/part شيئاً/noun آخر/adj فقط/adv أعلمني/verb ./punc,,TRUE,
2,MSA,هل تقومون بعمل تعديلات ؟,هل/part_interrog تقومون/verb بعمل/noun تعديلات/noun ؟/punc,,TRUE,
4,MSA,نريد مائدة بجانب النافذة .,نريد/verb مائدة/noun بجانب/noun النافذة/noun ./punc,,TRUE,
5,MSA,"هناك ، أمام بيانات السائح تماما .","هناك/adv ،/ punc أمام/prep بيانات/noun السائح/noun تماما/adv ./punc",,TRUE,
9,MSA,لم اسمع بهذا العنوان من قبل بالقرب من هنا .,لم/part_neg اسمع/verb بهذا/pron_dem العنوان/noun من/prep قبل/noun بالقرب/prep من/prep هنا/adv ./punc,,TRUE,
11,MSA,استمر في السير في هذا الطريق حتى تجد صيدلية .,استمر/verb في/prep السير/noun في/prep هذا/pron_dem الطريق/noun حتى/conj_sub تجد/verb صيدلية/noun ./punc,,TRUE,
12,MSA,ما هو أحدث لون هذا الموسم .,ما/pron_interrog هو/pron أحدث/adj لون/noun هذا/pron_dem الموسم/noun ./punc,,TRUE,
14,MSA,"في حالتي ، غالباً ما يكون من أجل العمل ونادراً ما يكون للاستمتاع .","في/prep حالتي/noun ،/punc غالباً/adv ما/adv يكون/verb من/prep أجل/prep العمل/noun ونادراً/adv ما/adv يكون/verb للاستمتاع/noun ./punc",,TRUE,
15,MSA,سأقيم لمدة يومين .,سأقيم/verb لمدة/noun يومين/noun ./punc,,TRUE,
16,MSA,أريد تمويج متقارب بشعري,أريد/verb تمويج/noun متقارب/adj بشعري/noun,,TRUE,
